a,b,c,d,e,f,g,h,i,j,k,l,m
0,-0.0096411,-0.0093462,0.007511,0.0069005,-0.0017116,-0.0014876,-0.0089303,-0.0084219,0.0063762,0.0060321,0.015303,0.01834
0.01,-0.0078257,-0.0080258,0.0088805,0.0093958,-0.0032411,-0.0033804,-0.011478,-0.010469,0.0099891,0.010257,0.010432,0.0097949
0.02,-0.0056955,-0.0052232,0.010136,0.010249,-0.004439,-0.0052355,-0.013421,-0.01409,0.013802,0.012171,0.0054756,0.0054921
0.03,-0.0035817,-0.0036534,0.011029,0.011807,-0.0057372,-0.00585,-0.015226,-0.015252,0.016638,0.01784,5.0206e-05,0.00040543
0.04,-0.001003,-0.00080413,0.01178,0.011994,-0.0067633,-0.0077065,-0.016674,-0.016702,0.019202,0.019163,-0.005194,-0.0045737
0.05,0.0015733,0.001369,0.012235,0.012808,-0.0076397,-0.0087096,-0.017945,-0.017157,0.021572,0.021659,-0.0099243,-0.00937
0.06,0.0036568,0.0038817,0.012432,0.013013,-0.0083271,-0.0094563,-0.018626,-0.01866,0.023315,0.023084,-0.01423,-0.013667
0.07,0.0058315,0.0055528,0.012292,0.013005,-0.0089471,-0.0097411,-0.018955,-0.018941,0.024791,0.023707,-0.01832,-0.017382
0.08,0.007703,0.0082315,0.011962,0.012862,-0.0092445,-0.010485,-0.018852,-0.019008,0.02575,0.024941,-0.021508,-0.022542
0.09,0.0093788,0.0093747,0.011305,0.012069,-0.0093905,-0.01064,-0.018373,-0.018732,0.025891,0.025526,-0.02498,-0.022475
0.1,0.010726,0.0113,0.010548,0.011765,-0.0092919,-0.010631,-0.017388,-0.017606,0.025419,0.025239,-0.027286,-0.027121
0.11,0.012168,0.011586,0.009398,0.0099326,-0.0090421,-0.010496,-0.016083,-0.017027,0.024272,0.024354,-0.029383,-0.027495
0.12,0.013317,0.012558,0.0080421,0.0088321,-0.008476,-0.0095637,-0.014421,-0.015194,0.022736,0.023438,-0.030776,-0.029536
0.13,0.014062,0.013591,0.0063265,0.0061277,-0.0077667,-0.0091891,-0.012476,-0.013166,0.020507,0.020702,-0.031315,-0.030414
0.14,0.0143,0.014182,0.004494,0.0046888,-0.0069189,-0.0082758,-0.010322,-0.011106,0.017354,0.015967,-0.031016,-0.030458
0.15,0.01434,0.01422,0.0026189,0.0027143,-0.0059213,-0.0071669,-0.0078031,-0.0083724,0.014761,0.017025,-0.030083,-0.029886
0.16,0.014029,0.014035,0.00046267,0.00048411,-0.0046687,-0.0049983,-0.0049529,-0.004796,0.011199,0.010506,-0.02833,-0.028147
0.17,0.013404,0.013481,-0.0017221,-0.0015654,-0.0035199,-0.0044243,-0.0017803,-0.0014693,0.0075467,0.007984,-0.026215,-0.027279
0.18,0.012294,0.012166,-0.003699,-0.003768,-0.0021473,-0.0022616,0.001668,0.0014058,0.0033724,0.0031748,-0.023312,-0.023485
0.19,0.010998,0.01134,-0.0054867,-0.005531,-0.0004518,-0.00023745,0.0046273,0.0045783,-0.00089131,-0.00063282,-0.019822,-0.020644
0.2,0.0094647,0.010056,-0.0072144,-0.0071578,0.0012203,0.0013674,0.0075367,0.007299,-0.0050683,-0.0044936,-0.016117,-0.016805
