a,b
13.557,0.016281
13.557,0.016313
13.557,0.016343
13.557,0.016354
13.558,0.016428
13.561,0.016511
13.565,0.016593
13.571,0.016676
13.578,0.016761
13.587,0.016849
13.598,0.01694
13.611,0.017037
13.628,0.017141
13.648,0.01728
13.675,0.017431
13.709,0.01761
13.753,0.017836
13.811,0.0181
13.89,0.018412
13.999,0.018791
14.154,0.019375
14.384,0.020151
14.738,0.021206
15.03,0.022068
15.313,0.02289
16.007,0.024789
16.705,0.026565
17.404,0.028351
18.003,0.029883
18.2,0.0304344
18.5,0.0312195
19,0.032528
