a,b,c
17.957,2.3213e-05,6.2281e-05
17.957,2.556e-05,6.8578e-05
17.957,3.0012e-05,8.0533e-05
17.957,3.8629e-05,0.00010364
17.957,5.5231e-05,0.0001482
17.957,8.7138e-05,0.00023383
17.957,0.00014824,0.00039779
17.957,0.00026559,0.00071246
17.955,0.00049156,0.0013186
17.947,0.00096283,0.0025852
17.918,0.0018715,0.0050328
17.871,0.0027655,0.007457
17.806,0.00365,0.0098776
17.721,0.0045361,0.012337
17.615,0.0054271,0.014859
17.484,0.0063324,0.017469
17.324,0.0072555,0.020204
17.127,0.0082055,0.023129
16.885,0.0091922,0.026307
16.577,0.010224,0.02986
16.186,0.011305,0.033872
15.667,0.012427,0.038642
15.043,0.013474,0.043985
14.41,0.014317,0.049238
13.8,0.015194,0.055227
13.673,0.015499,0.056993
13.615,0.015725,0.058013
13.589,0.015865,0.058634
13.574,0.015963,0.059091
13.564,0.016043,0.059453
13.558,0.016117,0.059777
13.555,0.016203,0.060066
13.554,0.016281,0.060331
13.554,0.016313,0.060437
13.554,0.016343,0.06054
13.554,0.016354,0.060579
13.555,0.016428,0.060816
13.558,0.016511,0.061046
13.562,0.016593,0.061274
13.568,0.016676,0.061501
13.575,0.016761,0.061732
13.584,0.016849,0.061969
13.595,0.01694,0.062216
13.608,0.017037,0.062474
13.625,0.017141,0.062749
13.645,0.01728,0.063045
13.672,0.017431,0.063358
13.706,0.01761,0.063725
13.75,0.017836,0.064135
13.808,0.0181,0.0646
13.887,0.018412,0.065134
13.996,0.018791,0.065758
14.151,0.019375,0.066498
14.381,0.020151,0.067389
14.735,0.021206,0.06848
15.027,0.022068,0.069222
15.31,0.02289,0.069836
16.004,0.024789,0.07109
16.702,0.026565,0.072092
17.401,0.028351,0.072924
18,0.029883,0.073538
