a,b,c
0.02,18.6594,13.8731
1.02,18.6499,13.8779
2.02,18.6357,13.8889
3.02,18.6167,13.9056
4.02,18.5925,13.9274
5.02,18.5624,13.954
6.02,18.5259,13.9851
7.02,18.4822,14.0209
8.02,18.4309,14.0616
9.02,18.3716,14.1073
10.02,18.3041,14.1583
11.02,18.2283,14.2147
12.02,18.1441,14.2766
13.02,18.0518,14.3439
14.02,17.9515,14.4165
15.02,17.844,14.4937
16.02,17.7301,14.5749
17.02,17.611,14.6588
18.02,17.4885,14.7438
19.02,17.3642,14.8282
20.02,17.2402,14.9102
21.02,17.118,14.988
22.02,16.9989,15.0605
23.02,16.8837,15.1269
24.02,16.7727,15.1869
25.02,16.6659,15.2406
26.02,16.5628,15.2881
27.02,16.4632,15.3301
28.02,16.3664,15.3669
29.02,16.272,15.3989
30.02,16.1796,15.4268
