a,b,c,d,,,,,,,,
23.95,0,23.95,0,,,,,,,,
23.94951165,3.87E-05,2.50E+01,0,,,,,,,,
23.94951013,4.24E-05,25.95,0,,,,,,,,
23.94950706,4.95E-05,2.70E+01,0,,,,,,,,
23.94950017,6.33E-05,27.95,0,,,,,,,,
23.94948298,9.00E-05,2.90E+01,0,,,,,,,,
23.94943765,0.000141129,29.95,0,,,,,,,,
23.94930137,0.00023917,3.10E+01,0,,,,,,,,
23.94885681,0.000427436,31.95,0,,,,,,,,
23.94641303,0.00079066,32.95,0,,,,,,,,
23.93778145,0.001537972,3.40E+01,0,,,,,,,,
23.90907303,0.002853208,34.95,0,,,,,,,,
23.86420023,0.004137495,3.60E+01,0,,,,,,,,
23.80287214,0.005411601,36.95,0,,,,,,,,
23.7238651,0.006694525,3.80E+01,0,,,,,,,,
23.62578421,0.007988197,38.95,0,,,,,,,,
23.50526652,0.009315674,4.00E+01,0,,,,,,,,
23.35901954,0.010681857,40.95,0,,,,,,,,
23.18005226,0.012108857,41.95,0,,,,,,,,
22.95961754,0.013628776,4.30E+01,0,,,,,,,,
22.68487908,0.015232695,43.95,0,,,,,,,,
22.33662925,0.01698744,4.50E+01,0,,,,,,,,
21.88532478,0.018858384,45.95,0,,,,,,,,
21.28903945,0.020929235,4.70E+01,0,,,,,,,,
20.6312125,0.022744904,47.95,0,,,,,,,,
19.96630474,0.024283626,4.90E+01,0,,,,,,,,
19.29885715,0.02558383,49.95,0,,,,,,,,
18.63445052,0.026732022,50.95,0,,,,,,,,
17.9933878,0.028141503,5.20E+01,0,,,,,,,,
17.85994151,0.02861638,52.95,0,,,,,,,,
17.8062469,0.028894605,5.40E+01,0,,,,,,,,
17.78354659,0.029066881,54.95,0,,,,,,,,
17.77024846,0.029174788,5.60E+01,0,,,,,,,,
17.76041068,0.029305456,56.95,0,,,,,,,,
17.75442006,0.029428985,5.80E+01,0,,,,,,,,
17.75072755,0.029537231,58.95,0,,,,,,,,
17.74882543,0.029637297,59.95,0,,,,,,,,
17.74875221,0.029715722,6.10E+01,0,,,,,,,,
17.74841589,0.029728154,61.95,0,,,,,,,,
17.74842113,0.029732277,6.30E+01,0,,,,,,,,
