a,b,c,d
17.74936037,0.02982421,23.95,0
17.75158383,0.029914695,22.95,0
17.7551077,0.030005099,21.95,0
17.76001639,0.030096688,20.95,0
17.76646418,0.030192794,19.95,0
17.77468468,0.030305097,18.95,0
17.78500861,0.030423517,17.95,0
17.79789233,0.030549994,16.95,0
17.8139611,0.030686862,15.95,0
17.8340743,0.030837025,14.95,0
17.86031066,0.030999077,13.95,0
17.89373299,0.031217386,12.95,0
17.93714396,0.031468786,11.95,0
17.99460753,0.031762922,10.95,0
18.07220348,0.032142141,9.95,0
18.17951795,0.03262242,8.95,0
18.33217381,0.033229832,7.95,0
18.42111152,0.033554527,6.95,0
18.55668209,0.034024338,5.95,0
18.8968082,0.035140171,4.95,0
19.40496142,0.036701037,3.95,0
20.09260194,0.038715048,2.95,0
20.78484095,0.040559494,1.95,0
21.47993016,0.042400794,0.95,0
22.17684333,0.044209893,-0.05,0
22.87501642,0.045965129,-1.05,0
23.57420504,0.047652779,-2.05,0
24.27419935,0.049324969,-3.05,0
24.9747827,0.051011707,-4.05,0
25.67585924,0.052659454,-5.05,0
26.37737809,0.054275673,-6.05,0
27.07926325,0.055887532,-7.05,0
27.78143757,0.057482692,-8.05,0
28.48388071,0.059054069,-9.05,0
29.18656778,0.060605781,-10.05,0
29.88945889,0.062151197,-11.05,0
29.99998862,0.062390089,-12.05,0
