a,b,
23.9495,2.39E+01,
23.9495,2.39E+01,
23.9495,2.39E+01,
23.9495,2.39E+01,
23.9495,2.39E+01,
23.9494,2.39E+01,
23.9493,23.9493,
23.9489,23.9489,
23.9464,23.9464,
23.9378,23.9378,
23.9091,23.9091,
23.8642,23.8642,
23.8029,23.8029,
23.7239,23.7239,
23.6258,23.6258,
23.5053,23.5053,
23.359,23.359,
23.1801,23.1801,
22.9596,22.9596,
22.6849,22.6849,
22.3366,22.3366,
21.8853,21.8853,
21.289,21.289,
20.6312,20.6312,
19.9663,19.9663,
19.2989,19.2989,
18.6345,18.6345,
17.9934,17.9934,
17.8599,17.8599,
17.8062,17.8062,
17.7835,17.7835,
17.7702,17.7702,
17.7604,17.7604,
17.7544,17.7544,
17.7507,17.7507,
17.7488,17.7488,
17.7488,17.7488,
17.7484,17.7484,
17.7484,17.7484,
17.7494,17.7494,
17.7516,17.7516,
17.7551,17.7551,
17.76,17.76,
17.7665,17.7665,
17.7747,17.7747,
17.785,17.785,
17.7979,17.7979,
17.814,17.814,
17.8341,17.8341,
17.8603,17.8603,
17.8937,17.8937,
17.9371,17.9371,
17.9946,17.9946,
18.0722,18.0722,
18.1795,18.1795,
18.3322,18.3322,
18.4211,18.4211,
18.5567,18.5567,
18.8968,18.8968,
19.405,19.405,
20.0926,20.0926,
20.7848,20.7848,
21.4799,21.4799,
22.1768,22.1768,
22.875,22.875,
23.5742,23.5742,
24.2742,24.2742,
24.9748,24.9748,
25.6759,25.6759,
26.3774,26.3774,
27.0793,27.0793,
27.7814,27.7814,
28.4839,28.4839,
29.1866,29.1866,
29.8895,29.8895,
30,30,
,,
,">> MaxX_COCO(1,:)'",
,,
,ans =,
,,
,0,
,0,
,0,
,0.0001,
,0.0001,
,0.0001,
,0.0002,
,0.0004,
,0.0008,
,0.0015,
,0.0029,
,0.0041,
,0.0054,
,0.0067,
,0.008,
,0.0093,
,0.0107,
,0.0121,
,0.0136,
,0.0152,
,0.017,
,0.0189,
,0.0209,
,0.0227,
,0.0243,
,0.0256,
,0.0267,
,0.0281,
,0.0286,
,0.0289,
,0.0291,
,0.0292,
,0.0293,
,0.0294,
,0.0295,
,0.0296,
,0.0297,
,0.0297,
,0.0297,
,0.0298,
,0.0299,
,0.03,
,0.0301,
,0.0302,
,0.0303,
,0.0304,
,0.0305,
,0.0307,
,0.0308,
,0.031,
,0.0312,
,0.0315,
,0.0318,
,0.0321,
,0.0326,
,0.0332,
,0.0336,
,0.034,
,0.0351,
,0.0367,
,0.0387,
,0.0406,
,0.0424,
,0.0442,
,0.046,
,0.0477,
,0.0493,
,0.051,
,0.0527,
,0.0543,
,0.0559,
,0.0575,
,0.0591,
,0.0606,
,0.0622,
,0.0624,
