a,b,c
0,0.0051616,0.004715
0.01,0.002853,0.0027374
0.02,0.00035384,0.00036514
0.03,-0.0023297,-0.001911
0.04,-0.0048016,-0.0043576
0.05,-0.0070939,-0.0059398
0.06,-0.0089911,-0.0087141
0.07,-0.010733,-0.0097907
0.08,-0.011978,-0.012124
0.09,-0.013082,-0.012348
0.1,-0.013987,-0.013264
0.11,-0.014537,-0.013881
0.12,-0.014716,-0.014242
0.13,-0.014549,-0.01421
0.14,-0.014093,-0.013875
0.15,-0.013403,-0.013552
0.16,-0.012498,-0.012744
0.17,-0.011419,-0.012215
0.18,-0.010014,-0.01017
0.19,-0.0083004,-0.0086382
0.2,-0.0063052,-0.0059628
0.21,-0.004188,-0.0041961
0.22,-0.0016082,-0.0011526
0.23,0.0011408,0.00096947
0.24,0.00356,0.0033395
0.25,0.0059425,0.005202
0.26,0.0080232,0.0078614
0.27,0.0098149,0.0094117
0.28,0.011302,0.011037
0.29,0.012771,0.011772
0.3,0.013961,0.012617
0.31,0.01462,0.013958
0.32,0.014919,0.014357
0.33,0.014984,0.014448
0.34,0.014719,0.01433
0.35,0.014228,0.014037
0.36,0.013273,0.0129
0.37,0.012049,0.011922
0.38,0.010558,0.010317
0.39,0.0090555,0.0097784
0.4,0.0071947,0.0074188
0.41,0.0048984,0.0042755
0.42,0.0025858,0.0025917
0.43,3.0396e-07,7.563e-05
0.44,-0.002762,-0.0022613
0.45,-0.0050569,-0.0050162
0.46,-0.0071763,-0.0064545
0.47,-0.0089284,-0.0089671
0.48,-0.010641,-0.0097231
0.49,-0.011902,-0.012107
0.5,-0.012992,-0.012545
0.51,-0.013762,-0.013443
0.52,-0.014232,-0.014033
0.53,-0.014437,-0.014225
0.54,-0.014377,-0.014242
0.55,-0.01396,-0.013991
0.56,-0.013272,-0.013401
0.57,-0.012329,-0.012754
0.58,-0.011274,-0.012076
0.59,-0.0098058,-0.0098996
0.6,-0.0080547,-0.0084758
0.61,-0.0059678,-0.0055846
0.62,-0.0038772,-0.004003
0.63,-0.0012331,-0.00089962
0.64,0.0015175,0.0012219
0.65,0.0038138,0.0037529
0.66,0.0060924,0.0055627
0.67,0.0080665,0.0082559
0.68,0.0097155,0.0097806
0.69,0.01112,0.011368
0.7,0.012458,0.011969
0.71,0.013664,0.012553
0.72,0.014329,0.013999
0.73,0.014681,0.014323
0.74,0.014668,0.014445
0.75,0.014394,0.014289
0.76,0.013841,0.013995
0.77,0.012896,0.012952
0.78,0.01169,0.011902
0.79,0.01022,0.010303
0.8,0.0085396,0.0085877
0.81,0.0065991,0.0066984
0.82,0.0041564,0.0037463
0.83,0.0018661,0.0018603
0.84,-0.00082968,-0.00058033
0.85,-0.003336,-0.002782
0.86,-0.0053582,-0.0056746
0.87,-0.0073756,-0.0068276
0.88,-0.009092,-0.009251
0.89,-0.010762,-0.010039
0.9,-0.011972,-0.012206
0.91,-0.012939,-0.012937
0.92,-0.013769,-0.013387
0.93,-0.014214,-0.014038
0.94,-0.014418,-0.014232
0.95,-0.014227,-0.014195
0.96,-0.013798,-0.013869
0.97,-0.013085,-0.013387
0.98,-0.01216,-0.012662
0.99,-0.011011,-0.011683
1,-0.0093809,-0.0091184
1.01,-0.0075655,-0.007798
1.02,-0.0054353,-0.0049954
1.03,-0.0033215,-0.0034256
1.04,-0.00074278,-0.00057638
1.05,0.0018335,0.0015968
1.06,0.003917,0.0041095
1.07,0.0060917,0.0057805
1.08,0.0079632,0.0084592
1.09,0.009639,0.0096025
1.1,0.010986,0.011528
1.11,0.012428,0.011814
1.12,0.013577,0.012786
1.13,0.014322,0.013819
1.14,0.01456,0.014409
1.15,0.014601,0.014448
1.16,0.014289,0.014262
1.17,0.013664,0.013709
1.18,0.012554,0.012394
1.19,0.011259,0.011568
1.2,0.0097249,0.010283
1.21,0.0079705,0.0081043
1.22,0.0058746,0.005622
1.23,0.003655,0.0035508
1.24,0.0015007,0.001583
1.25,-0.0010091,-0.00077912
1.26,-0.0034448,-0.0029134
1.27,-0.0053732,-0.0058247
1.28,-0.0073541,-0.0069261
1.29,-0.0090075,-0.00921
1.3,-0.010716,-0.0096837
1.31,-0.011909,-0.012211
1.32,-0.012905,-0.012758
1.33,-0.013607,-0.013598
1.34,-0.014007,-0.014025
1.35,-0.014106,-0.014259
1.36,-0.013914,-0.014147
1.37,-0.013405,-0.01378
1.38,-0.012586,-0.013055
1.39,-0.011539,-0.012284
1.4,-0.010287,-0.011052
1.41,-0.0085563,-0.0083787
1.42,-0.0067746,-0.0070258
1.43,-0.0047269,-0.0047563
1.44,-0.0025699,-0.0024359
1.45,-0.00011291,-9.2996e-06
1.46,0.0022518,0.0022331
1.47,0.0043341,0.0045072
1.48,0.006502,0.0062509
1.49,0.0083564,0.0086393
1.5,0.0099788,0.010074
1.51,0.011488,0.010854
1.52,0.012797,0.012317
1.53,0.013863,0.01294
1.54,0.014365,0.014222
1.55,0.014569,0.014406
1.56,0.014424,0.014398
1.57,0.014028,0.014194
1.58,0.01308,0.012829
1.59,0.011962,0.012291
1.6,0.010496,0.010284
1.61,0.0090823,0.010176
1.62,0.0073323,0.0077363
1.63,0.005349,0.005165
1.64,0.0032661,0.003358
1.65,0.00122,0.0014047
1.66,-0.0013303,-0.0010159
1.67,-0.0037281,-0.003051
1.68,-0.0057439,-0.0056803
1.69,-0.0077558,-0.0072547
1.7,-0.0095144,-0.0093235
1.71,-0.011107,-0.010603
1.72,-0.012176,-0.012476
1.73,-0.013025,-0.013189
1.74,-0.013674,-0.013707
1.75,-0.013987,-0.014159
1.76,-0.01402,-0.014261
1.77,-0.013673,-0.014043
1.78,-0.013093,-0.013647
1.79,-0.012191,-0.012653
1.8,-0.011231,-0.012412
1.81,-0.0098531,-0.0099967
1.82,-0.0082831,-0.0091525
1.83,-0.0064373,-0.006479
1.84,-0.0045692,-0.0050606
1.85,-0.0023182,-0.0019879
1.86,9.2958e-05,0.00020352
1.87,0.0025944,0.0024302
1.88,0.0047691,0.004799
1.89,0.0070844,0.006045
1.9,0.0088633,0.0089013
1.91,0.010396,0.010718
1.92,0.011753,0.011396
1.93,0.012946,0.012536
1.94,0.013842,0.013364
1.95,0.014321,0.014207
1.96,0.014399,0.014448
1.97,0.01425,0.014411
1.98,0.01371,0.013941
1.99,0.012803,0.013047
2,0.011647,0.012067
